,,,,,,,,,,,,,,,,,
DISCIPLINA,TURMA,NOME DISCIPLINA,Combinar,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SABADO,Horário Sigaa,COLEGIADO,CALOUROS,CONCLUINTES,OUTROS,TOTAL,CH,DOCENTE 
OBRIGATÓRIAS DA GRADUAÇÃO,,,,,,,,,,,,,,,,,
MAT045,1,PROCESSAMENTO DE DADOS,,07:00 - 08:50,,07:00 - 08:50,,,,24M12,104 - Engenharia Elétrica,0,0,25,25,4,ANA PEREIRA
,,,,,,,,,,,111 - Matemática,0,0,5,5,,
,,,,,,,,,,,118 - Geofísica,0,0,10,10,,
,,,,,,,,,,,Matemática,0,0,5,5,,
MAT045,4,PROCESSAMENTO DE DADOS,,,14:50 - 16:40,,14:50 - 16:40,,,35T34,105 - Engenharia Mecânica,0,0,25,25,4,MARIA COSTA
,,,,,,,,,,,105 - Engenharia Mecânica,0,0,5,5,,
,,,,,,,,,,,183 - Matemática - Noturno,0,0,5,5,,
,,,,,,,,,,,118 - Geofísica,0,0,10,10,,
MAT220,1,EMPREENDEDORES EM INFORMATICA,,,18:30 - 20:20,,18:30 - 20:20,,,35N12,195 - Sistemas de Informação - Noturno,0,0,20,20,4,ANA PEREIRA
,,,,,,,,,,,112 - Ciência da Computação,0,0,15,15,,
,,,,,,,,,,,196 - Computação - Noturno,0,0,10,10,,
MATA47,1,LÓGICA PARA COMPUTAÇÃO,,13:00 - 14:50,,16:40 - 18:30,,,,2T12   4T56,112 - Ciência da Computação,0,0,45,45,4,MARIA COSTA
MATA47,2,LÓGICA PARA COMPUTAÇÃO,,,18:30 - 20:20,,18:30 - 20:20,,,35N12,186 - Engenharia da Computação - Noturno,0,0,40,40,4,MARIA COSTA
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
