,,,,,,,,,,,,,,,,,
DISCIPLINA,TURMA,NOME DISCIPLINA,Combinar,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SABADO,Horário Sigaa,COLEGIADO,CALOUROS,CONCLUINTES,OUTROS,TOTAL,CH,DOCENTE 
OBRIGATÓRIAS DA GRADUAÇÃO,,,,,,,,,,,,,,,,,
MATA48,1,ARQUITETURA DE COMPUTADORES,,,14:50 - 16:40,,14:50 - 16:40,,,35T34,112 - Ciência da Computação,0,0,45,45,4,ANA PEREIRA
MATA48,2,ARQUITETURA DE COMPUTADORES,,,20:20 - 22:10,,20:20 - 22:10,,,35N34,188 - Eng.de Controle e Automação de Processos,0,0,40,40,4,ANA PEREIRA
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,0,,
